# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
bu jiu shi 	不就是	c=6 d=0.00023139 t=102671
bu ju 	布局	c=3 d=5.71677e-40 t=102671
bu ju bei 	不具备	c=1 d=1.50385e-65 t=102671
bu ju you 	不具有	c=2 d=3.87732e-89 t=102671
bu jun 	不均	c=0 d=3.25095e-18 t=102671
bu jun chai uai 	不均拆厦	c=1 d=3.26724e-17 t=102671
bu kai 	不开	c=2 d=0.900325 t=102671
bu kan 	不看	c=2 d=1.71308e-138 t=102671
bu kao lv 	不考虑	c=1 d=1 t=101613
bu ke bi mian 	不可避免	c=1 d=1 t=98653
bu ke kang li 	不可抗力	c=1 d=9.33029e-09 t=102671
bu ke neng 	不可能	c=8 d=0.0566989 t=102671
bu ke qi 	不客气	c=27 d=0.382602 t=102671
bu li 	不利	c=4 d=1.95378e-56 t=102671
bu li yu 	不利于	c=2 d=1.56934e-147 t=102671
bu liang 	不良	c=1 d=1.84553e-150 t=102671
bu liu 	不留	c=1 d=2.84186e-23 t=102671
bu lun 	不论	c=2 d=0.458406 t=102671
bu ma fan 	不麻烦	c=1 d=7.17411e-35 t=102671
bu mai 	不买	c=3 d=3.47935e-131 t=102671
bu mang 	不忙	c=1 d=2.52807e-117 t=102671
bu men 	部门	c=4 d=3.24687e-61 t=102671
bu meng 	步梦	c=1 d=1.20433e-99 t=102671
bu mian 	不免	c=1 d=1.3138e-05 t=102671
bu neng 	不能	c=63 d=0.131994 t=102671
bu pa 	不怕	c=1 d=2.49102e-61 t=102671
bu pei 	不配	c=4 d=8.81629e-40 t=102671
bu ping 	不平	c=1 d=5.42225e-06 t=102671
bu qi 	不齐	c=1 d=1 t=88034
bu qing chu 	不清楚	c=10 d=0.00371644 t=102671
bu qu 	不去	c=2 d=2.07192e-11 t=102671
bu qu jiu 	不去就	c=1 d=1.05264e-74 t=102671
bu que ding 	不确定	c=3 d=5.86574e-135 t=102671
bu rang 	不让	c=2 d=1.29848e-14 t=102671
bu rang ni 	不让你	c=1 d=5.14887e-15 t=102671
bu rang ta men 	不让他们	c=1 d=4.50693e-66 t=102671
bu ren de 	不认得	c=1 d=2.19773e-146 t=102671
bu ren shi 	不认识	c=2 d=1.46328e-08 t=102671
bu ru 	不如	c=2 d=1.19003e-39 t=102671
bu sang shi 	不丧失	c=1 d=7.50918e-72 t=102671
bu shang 	不上	c=2 d=3.39007e-10 t=102671
bu shang lai 	不上来	c=1 d=2.69912e-05 t=102671
bu shang lou 	不上楼	c=1 d=2.64567e-05 t=102671
bu shao 	不少	c=4 d=1.42052e-12 t=102671
bu she zhi 	不设置	c=1 d=2.79365e-57 t=102671
bu shi 	不是	c=112 d=1.25256 t=102671
bu shi he 	不适合	c=1 d=2.13364e-92 t=102671
bu shou 	不受	c=3 d=2.72599 t=95217
bu shou 	不收	c=1 d=1.94774e-49 t=102671
bu shou qu 	不收取	c=1 d=5.3129e-31 t=102671
bu shou quan 	不授权	c=3 d=7.45039e-09 t=102671
bu shu 	部署	c=3 d=1.23012e-149 t=102671
bu shu fu 	不舒服	c=2 d=1.50874e-08 t=102671
bu shu xi 	不熟悉	c=0 d=4.43922e-36 t=102671
bu shu yu 	不属于	c=4 d=0.127454 t=102671
bu suan 	不算	c=3 d=5.04916e-79 t=102671
bu tai 	补胎	c=1 d=4.74254e-136 t=102671
bu tai hao 	不太好	c=3 d=2.58835e-12 t=102671
bu tai hui 	不太会	c=2 d=2.85552e-50 t=102671
bu tai xing 	不太行	c=1 d=9.00631e-05 t=102671
bu ti jiao 	不提交	c=1 d=1 t=94899
bu ti sheng 	不提升	c=1 d=1 t=80180
bu tian 	不填	c=3 d=1.07379e-14 t=102671
bu ting 	不听	c=1 d=0.00017252 t=102671
bu tong 	不同	c=116 d=0.0185924 t=102671
bu tong yi 	不统一	c=1 d=1 t=81733
bu tui 	不退	c=2 d=2.18861e-09 t=102671
bu wai chu 	不外出	c=1 d=2.88932e-12 t=102671
bu wei 	部位	c=1 d=7.54964e-47 t=102671
bu wen ding 	不稳定	c=2 d=9.05454e-09 t=102671
bu xi huan 	不喜欢	c=3 d=8.36124e-13 t=102671
bu xia qu 	不下去	c=0 d=1.15082e-36 t=102671
bu xian 	不限	c=1 d=2.07735e-101 t=102671
bu xiang 	不像	c=1 d=1.75563e-92 t=102671
bu xiang 	不想	c=10 d=9.00338e-09 t=102671
bu xiang qu 	不想去	c=1 d=8.09291e-41 t=102671
bu xiang xiang 	不像樣	c=1 d=2.40092e-10 t=102671
bu xiang yao 	不想要	c=1 d=1 t=95630
bu xiao de 	不小的	c=16 d=2.4491e-07 t=102671
bu xiao de 	不晓得	c=2 d=4.16459e-98 t=102671
bu xie 	不写	c=2 d=2.2386e-10 t=102671
bu xin 	不信	c=0 d=2.3772e-100 t=102671
bu xin yao bu chuan yao 	不信要不传谣	c=1 d=2.38912e-99 t=102671
bu xing 	不行	c=18 d=0.638695 t=102671
bu xiu gang 	不锈钢	c=3 d=4.65953e-46 t=102671
bu xu yao 	不需要	c=25 d=0.0118551 t=102671
bu xue 	补血	c=1 d=1.72791e-140 t=102671
bu yai 	不崖	c=1 d=3.94301e-111 t=102671
bu yan ge 	不严格	c=1 d=1.85736e-137 t=102671
bu yao 	不要	c=51 d=0.26481 t=102671
bu yao yi yang 	不要一样	c=1 d=5.15045e-48 t=102671
bu yi 	不宜	c=1 d=6.37871e-123 t=102671
bu yi 	不易	c=6 d=0.0132465 t=102671
bu yi ding 	不一定	c=9 d=0.191092 t=102671
bu yi yang 	不一样	c=20 d=0.149569 t=102671
bu yi zhi 	不一致	c=9 d=3.63001e-13 t=102671
bu ying gai 	不应该	c=1 d=7.45576e-135 t=102671
bu ying xiang 	不影响	c=2 d=4.30889e-08 t=102671
bu yio 	不易	c=1 d=8.18207e-111 t=102671
bu yong 	不用	c=34 d=0.00568457 t=102671
bu zai 	不再	c=2 d=1.36106e-09 t=102671
bu zai 	不在	c=5 d=9.98777e-16 t=102671
bu zai yu 	不在于	c=1 d=5.88329e-113 t=102671
bu zheng 	不争	c=1 d=3.04069e-142 t=102671
bu zheng 	补正	c=10 d=0.000146278 t=102671
bu zheng qi 	不整齐	c=1 d=1 t=88030
bu zheng que 	不正确	c=2 d=3.21123e-112 t=102671
bu zheng shu 	补正书	c=1 d=5.62058e-105 t=102671
bu zhi 	不止	c=2 d=2.01026e-09 t=102671
bu zhi 	不知	c=1 d=1.46852e-50 t=102671
bu zhi 	布置	c=4 d=8.37833e-37 t=102671
bu zhi dao 	不知道	c=18 d=3.01e-10 t=102671
bu zhi jie 	不直接	c=1 d=6.54862e-50 t=102671
bu zhi yu 	不至于	c=1 d=1.68719e-36 t=102671
bu zhong yao 	不重要	c=1 d=1.37582e-77 t=102671
bu zhou 	步骤	c=35 d=0.315058 t=102671
bu zhun que 	不准确	c=1 d=9.94811e-28 t=102671
bu zu 	不足	c=4 d=4.11999e-10 t=102671
bu zuo 	不做	c=7 d=0.315058 t=102671
bul 	部	c=10 d=5.10894e-06 t=102671
bup 	补	c=10 d=1.62722e-22 t=102671
bup rup 	补入	c=9 d=5.48478e-26 t=102671
bup; 	补	c=2 d=5.97352e-136 t=102671
buu 	布	c=3 d=9.33256e-100 t=102671
buv 	步	c=1 d=4.41379e-85 t=102671
bwk 	呗	c=6 d=1.74372e-12 t=102671
bwk 	贝	c=1 d=1 t=96461
bwlo; ya 	背压	c=1 d=5.99659e-14 t=102671
bwp 	被	c=69 d=0.881596 t=102671
bwr 	倍	c=1 d=1.18422e-48 t=102671
bww 	备	c=1 d=3.19713e-144 t=102671
ca 	擦	c=1 d=1 t=94802
ca chu 	擦出	c=3 d=5.52042e-56 t=102671
ca chu 	擦除	c=1 d=1.93434e-56 t=102671
ca xie 	擦写	c=1 d=1.00478e-56 t=102671
ca xie 	擦鞋	c=1 d=9.99765e-57 t=102671
caf 	擦	c=1 d=1 t=94831
cai 	才	c=45 d=0.226502 t=102671
cai 	菜	c=2 d=1.80148e-13 t=102671
cai ce 	猜测	c=1 d=1.35027e-33 t=102671
cai dan 	菜单	c=4 d=2.52999 t=100556
cai dao 	菜刀	c=1 d=1 t=87835
cai er 	采儿	c=1 d=3.57166e-65 t=102671
cai fa xian 	才发现	c=1 d=1 t=88290
cai gou 	采购	c=1 d=1.12001e-98 t=102671
cai hao 	才好	c=2 d=3.34643e-34 t=102671
cai hui 	才会	c=2 d=0.000223746 t=102671
cai ji 	采集	c=15 d=1.28157e-29 t=102671
cai jian 	裁剪	c=5 d=1.1949e-52 t=102671
cai ke neng 	才可能	c=1 d=1 t=94986
cai ke yi 	才可以	c=5 d=2.17918e-17 t=102671
cai liao 	材料	c=52 d=1.87404e-07 t=102671
cai neng 	才能	c=20 d=0.618796 t=102671
cai niao 	菜鸟	c=1 d=6.12607e-30 t=102671
cai pan 	裁判	c=1 d=1.06757e-122 t=102671
cai piao 	彩票	c=1 d=4.14165e-101 t=102671
cai qie 	裁切	c=5 d=1.5185e-32 t=102671
cai se 	彩色	c=4 d=5.70492e-45 t=102671
cai shi 	才是	c=5 d=0.847894 t=102671
cai ta 	踩踏	c=16 d=1.59412e-89 t=102671
cai ta liv 	踩踏力	c=1 d=1.20934e-89 t=102671
cai tu 	彩图	c=1 d=1.6733e-27 t=102671
cai wu 	财务	c=17 d=0.00054485 t=102671
cai yang 	采样	c=5 d=0.700584 t=102671
cai yong 	采用	c=232 d=2.03493 t=102671
cai you 	才有	c=2 d=7.25485e-49 t=102671
cai you men 	踩油门	c=1 d=1.36505e-14 t=102671
cai yus 	才予	c=1 d=5.00947e-45 t=102671
cai zai 	踩在	c=1 d=1 t=100918
cai zhi 	材质	c=1 d=3.24576e-57 t=102671
cai zou 	才走	c=1 d=4.56586e-13 t=102671
can 	惨	c=5 d=0.00687406 t=102671
can chu 	餐厨	c=1 d=0.00554422 t=102671
can guan 	餐馆	c=1 d=0.00384878 t=102671
can jia 	参加	c=7 d=0.0620385 t=102671
can kao 	参考	c=9 d=3.31549e-13 t=102671
can kao tu 	参考图	c=6 d=4.95898e-51 t=102671
can shu 	参数	c=13 d=0.158945 t=102671
can uai ia 	惨厦☕	c=2 d=0.0617291 t=102671
can yu 	参与	c=6 d=8.44383e-11 t=102671
can za 	掺杂	c=1 d=9.97597e-149 t=102671
cang 	仓	c=1 d=4.7759e-126 t=102671
cang 	藏	c=1 d=3.99771e-126 t=102671
cao 	曹	c=20 d=4.6702e-14 t=102671
cao xian 	曹县	c=1 d=4.24691e-14 t=102671
cao zuo 	操作	c=58 d=0.88829 t=102671
cao zuo shi 	操作时	c=2 d=2.12429e-11 t=102671
cao zuo xlvo 	操作箱	c=1 d=2.64415e-57 t=102671
ccf 	操	c=1 d=1 t=92956
ccm 	槽	c=7 d=0.669348 t=102671
cdcx; 	蔡	c=2 d=6.37695e-61 t=102671
cdp 	彩	c=1 d=1.33448e-71 t=102671
cdp; nas; 	采纳	c=1 d=2.85816e-149 t=102671
cdu 	裁	c=1 d=1.40075e-53 t=102671
cdz 	踩	c=2 d=5.42115e-33 t=102671
ce 	侧	c=16 d=0.319819 t=102671
ce 	测	c=4 d=4.13084e-81 t=102671
ce ban 	侧板	c=32 d=4.43799e-06 t=102671
ce bi 	侧壁	c=23 d=0.0407246 t=102671
ce bian 	侧边	c=8 d=7.47186e-07 t=102671
ce bing 	侧并	c=1 d=1 t=96371
ce bu 	侧部	c=1 d=7.60379e-131 t=102671
ce ding yi 	测定仪	c=1 d=2.3989e-147 t=102671
ce fang 	侧方	c=1 d=1 t=101771
ce ju 	测距	c=19 d=1.30542e-10 t=102671
ce jxlm; tir 	侧架体	c=5 d=4.06596 t=91938
ce kuang jia 	侧框架	c=13 d=1.59696 t=92713
ce liang 	测量	c=22 d=2.45359e-30 t=102671
ce lve 	策略	c=3 d=3.4999e-32 t=102671
ce mian 	侧面	c=3 d=0.0884781 t=102671
ce shi 	测试	c=82 d=0.56158 t=102671
ce shi ban 	测试版	c=2 d=7.02846e-29 t=102671
ce shi tai 	测试台	c=9 d=1.13563e-13 t=102671
ce shi uio 	测试时	c=1 d=1 t=90227
ce su 	测速	c=2 d=1.59169e-27 t=102671
ce suo 	厕所	c=1 d=5.15676e-33 t=102671
ce tie 	侧贴	c=1 d=1.5987e-108 t=102671
ce yong 	侧泳	c=1 d=1 t=81098
ce zhi jia 	侧支架	c=5 d=5.64909e-22 t=102671
ced 	测	c=6 d=5.92432e-27 t=102671
cei shi 	𤭢是	c=1 d=1 t=98325
cen gue cong 	岑崮从	c=1 d=1.54078e-115 t=102671
ceng 	层	c=8 d=4.83606e-20 t=102671
ceng ceng 	层层	c=2 d=2.18529e-12 t=102671
ceng ci 	层次	c=2 d=2.93416e-89 t=102671
ceng die 	层叠	c=6 d=0.197572 t=102671
ceng ji 	层级	c=3 d=9.14242e-05 t=102671
ceng mian 	层面	c=3 d=3.43916e-77 t=102671
ceng shu 	层数	c=1 d=0.396531 t=102671
cer 	侧	c=0 d=0.1 t=98756
cer; uip 	侧视	c=2 d=5.85133e-49 t=102671
cha 	差	c=7 d=0.000841773 t=102671
cha ba 	插拔	c=1 d=2.17971e-108 t=102671
cha bie 	差别	c=1 d=1.00136e-16 t=102671
cha bu dao 	查不到	c=1 d=3.75491e-36 t=102671
cha bu duo 	差不多	c=19 d=0.00030277 t=102671
cha cao 	插槽	c=4 d=1.525e-101 t=102671
cha cha 	叉叉	c=1 d=1.49976e-33 t=102671
cha dao 	查到	c=2 d=2.40207e-129 t=102671
cha dian 	差点	c=3 d=7.91513e-15 t=102671
cha dong 	差动	c=1 d=2.55443e-92 t=102671
cha jia 	差价	c=1 d=1 t=100827
cha jian 	插件	c=6 d=5.3663e-31 t=102671
cha jie 	插接	c=1 d=1.07827 t=95347
cha jie tou 	插接头	c=1 d=1 t=95299
cha kan 	查看	c=17 d=5.10458e-31 t=102671
cha kan yi xia 	查看一下	c=2 d=0.0163259 t=102671
cha ming 	查明	c=2 d=2.6141e-32 t=102671
cha quan 	查全	c=1 d=3.15326e-11 t=102671
cha ru 	插入	c=7 d=8.59948e-20 t=102671
cha shou 	查收	c=4 d=2.47446e-12 t=102671
cha tou 	插头	c=4 d=1.72009e-19 t=102671
cha xun 	查询	c=14 d=1.11051e-08 t=102671
cha yi xia 	查一下	c=5 d=0.0528657 t=102671
cha zhao 	查找	c=1 d=3.0657e-62 t=102671
cha zhuang 	插装	c=8 d=2.79141e-23 t=102671
cha zhuang 	茶庄	c=1 d=1.18636e-128 t=102671
cha zuo 	插座	c=1 d=4.32667e-27 t=102671
chai 	拆	c=3 d=3.25095e-18 t=102671
chai xia 	拆下	c=1 d=4.91481e-144 t=102671
chai xie 	拆卸	c=12 d=7.06249e-27 t=102671
chai zhuang 	拆装	c=5 d=1.09677e-14 t=102671
chan 	产	c=1 d=1.42124e-18 t=102671
chan jia 	产假	c=1 d=1 t=95275
chan pin 	产品	c=43 d=5.03654e-07 t=102671
chan rao 	缠绕	c=7 d=1.44341e-53 t=102671
chan sheng 	产生	c=43 d=0.435684 t=102671
chan shu 	阐述	c=6 d=1.10806e-32 t=102671
chan uin 	产始	c=1 d=3.76539e-10 t=102671
chan xian 	产线	c=1 d=1 t=91728
chan xian 	产险	c=1 d=1 t=91727
chang 	长	c=15 d=6.99839e-08 t=102671
chang chang 	尝尝	c=1 d=1 t=79970
chang du 	长度	c=38 d=0.311169 t=102671
chang du fang xiang 	长度方向	c=11 d=0.461125 t=102671
chang fang ti 	长方体	c=1 d=1 t=82126
chang gui 	常规	c=14 d=5.74463e-09 t=102671
chang gui ji shu 	常规技术	c=1 d=2.23009e-24 t=102671
chang jia 	厂家	c=1 d=9.21271e-95 t=102671
chang jian 	常见	c=2 d=4.16211e-12 t=102671
chang jiang 	长江	c=1 d=1 t=101607
chang jing 	场景	c=1 d=5.27186e-28 t=102671
chang kou 	敞口	c=1 d=3.75187e-144 t=102671
chang li 	常理	c=1 d=6.06944e-09 t=102671
chang qi 	长期	c=2 d=4.80521e-114 t=102671
chang shi 	尝试	c=1 d=1 t=93515
chang shi 	常识	c=1 d=1 t=93518
chang shi jian 	长时间	c=2 d=2.06182e-145 t=102671
chang tiao 	长条	c=3 d=3.84499e-42 t=102671
chang tiao zhuang 	长条状	c=4 d=1.77834e-08 t=102671
chang yong 	常用	c=1 d=0.0314298 t=102671
chang yuan 	长远	c=2 d=0.00289433 t=102671
chang zi 	厂子	c=1 d=2.63617e-139 t=102671
chao 	超	c=3 d=4.34614e-21 t=102671
chao cai 	炒菜	c=1 d=3.25461e-89 t=102671
chao chu 	超出	c=4 d=2.05898e-26 t=102671
chao fan wei 	超范围	c=2 d=1 t=93368
chao guo 	超过	c=12 d=3.38017e-05 t=102671
chao nei 	朝内	c=10 d=3.12027e-23 t=102671
chao qi 	超期	c=2 d=5.3185e-14 t=102671
chao shang 	朝上	c=4 d=4.65651e-09 t=102671
chao song 	抄送	c=3 d=0.0612371 t=102671
chao wai 	朝外	c=14 d=0.155673 t=102671
chao xia 	朝下	c=7 d=0.0459593 t=102671
chao xiang 	朝向	c=70 d=0.460625 t=102671
che 	车	c=14 d=0.0190631 t=102671
che dao 	车道	c=2 d=1.68824e-14 t=102671
che di 	彻底	c=3 d=2.95328e-23 t=102671
che hui 	撤回	c=43 d=0.292637 t=102671
che hui zhuan li 	撤回专利	c=1 d=1.00361e-13 t=102671
che jia 	车架	c=7 d=2.29911e-30 t=102671
che jian 	车间	c=2 d=1 t=98597
che liang 	车辆	c=8 d=3.96296e-15 t=102671
che lun 	车轮	c=7 d=9.13664e-67 t=102671
che men 	车门	c=1 d=1 t=101616
che pai 	车牌	c=2 d=3.31101e-144 t=102671
che shan 	撤單	c=1 d=2.01013e-67 t=102671
che shang 	车上	c=5 d=0.346456 t=102671
che shen 	车身	c=21 d=4.77985e-14 t=102671
che tai 	车胎	c=1 d=4.37792e-136 t=102671
che tou 	车头	c=1 d=4.84902e-15 t=102671
che wei 	车位	c=3 d=4.7293e-15 t=102671
che wei 	车尾	c=1 d=1.01125e-14 t=102671
che wei suo 	车位锁	c=1 d=6.50114e-82 t=102671
che xiang 	车厢	c=2 d=1 t=93197
che xing 	车型	c=1 d=1 t=89983
che you qun 	车友群	c=2 d=4.25908e-77 t=102671
che zi 	车子	c=5 d=0.00835412 t=102671
chen 	陈	c=28 d=1.30117e-09 t=102671
chen dian 	沉淀	c=1 d=3.03139e-106 t=102671
chen hui 	瞋恚	c=1 d=1 t=100307
chen ji 	沉积	c=5 d=3.95167e-122 t=102671
chen lao shi 	陈老师	c=1 d=1.62148e-98 t=102671
chen liang 	陈亮	c=1 d=1.61339e-98 t=102671
chen lie 	陈列	c=2 d=1.95794e-23 t=102671
chen ru 	沉入	c=1 d=2.5194e-106 t=102671
chen shu 	陈述	c=12 d=0.373439 t=102671
chen shu shu 	陈述书	c=2 d=1 t=91123
chen xbjj 	陈鑫	c=44 d=1.10894e-05 t=102671
chen yi 	衬衣	c=1 d=1 t=94844
chen yong 	陈勇	c=1 d=1 t=91428
cheng 	成	c=34 d=4.74509e-05 t=102671
cheng ben 	成本	c=32 d=9.89783e-09 t=102671
cheng ben gao 	成本高	c=1 d=1.31314e-146 t=102671
cheng dan 	承担	c=7 d=4.49788e-13 t=102671
cheng du 	成都	c=3 d=6.9706e-20 t=102671
cheng du 	程度	c=4 d=6.93584e-20 t=102671
cheng er 	成儿	c=1 d=3.81178e-07 t=102671
cheng fen 	成分	c=1 d=2.47295e-93 t=102671
cheng gong 	成功	c=26 d=0.000816895 t=102671
cheng guo 	成果	c=2 d=5.69216e-39 t=102671
cheng hu 	称呼	c=4 d=7.87834e-19 t=102671
cheng jiu 	成就	c=3 d=4.92851e-73 t=102671
cheng ke 	乘客	c=2 d=1.21811e-106 t=102671
cheng ken 	诚恳	c=0 d=1.1495e-140 t=102671
cheng ken dian 	诚恳点	c=1 d=1.15526e-139 t=102671
cheng li 	成立	c=4 d=8.50206e-33 t=102671
cheng nuo 	承诺	c=4 d=2.49932e-08 t=102671
cheng ren 	承认	c=1 d=1.60649e-77 t=102671
cheng shi 	城市	c=4 d=8.46487e-99 t=102671
cheng shou 	承受	c=3 d=2.91259 t=101153
cheng shu 	成熟	c=4 d=2.77122e-21 t=102671
cheng tuan 	成团	c=9 d=0.000544921 t=102671
cheng wei 	成为	c=12 d=1.48661e-15 t=102671
cheng xiang 	成像	c=1 d=1.59929e-83 t=102671
cheng xing 	成型	c=94 d=1.44627 t=102671
cheng xing ao cao 	成型凹槽	c=1 d=0.0466538 t=102671
cheng xing fav ka 	成型发卡	c=1 d=0.0925506 t=102671
cheng xing mian 	成型面	c=40 d=0.138098 t=102671
cheng xing quk 	成型区	c=25 d=1.7146 t=102671
cheng xing tu tai 	成型凸台	c=2 d=4.14831e-06 t=102671
cheng xu 	程序	c=27 d=0.398519 t=102671
chi 	吃	c=29 d=0.99005 t=102671
chi chi 	迟迟	c=1 d=2.71718e-54 t=102671
chi cun 	尺寸	c=40 d=0.012537 t=102671
chi fan 	吃饭	c=29 d=0.00013845 t=102671
chi li 	吃力	c=0 d=8.12163e-113 t=102671
chi lun 	齿轮	c=98 d=0.766894 t=102671
chi lun an zhuang 	齿轮安装	c=1 d=3.68647e-143 t=102671
chi lun fu 	齿轮副	c=2 d=6.21162e-143 t=102671
chi lun vzi 	齿轮轴	c=8 d=1.9921e-108 t=102671
chi lun vzi zu jian 	齿轮轴组件	c=4 d=5.82964e-143 t=102671
chi lun xiang 	齿轮箱	c=16 d=3.2719e-142 t=102671
chi lun xiang ti 	齿轮箱提	c=-2 d=3.09868e-147 t=102671
chi lun xlvo; gdy; 	齿轮箱盖	c=3 d=4.03703e-144 t=102671
chi lun xlvo; tirb; 	齿轮箱体	c=23 d=5.97367e-142 t=102671
chi tiao 	齿条	c=4 d=2.06705 t=102470
chi wan 	吃完	c=7 d=1.61716 t=102671
chi wan fan 	吃完饭	c=1 d=5.34663e-76 t=102671
chi xun 	持循	c=1 d=8.05829e-20 t=102671
chi zi 	尺子	c=5 d=4.16393 t=83520
chong 	冲	c=1 d=0.0026852 t=102671
chong ci 	充磁	c=6 d=9.27453e-91 t=102671
chong dao 	充到	c=1 d=5.68941e-13 t=102671
chong di 	冲抵	c=1 d=1 t=85242
chong dian 	充电	c=3 d=2.10051e-12 t=102671
chong die 	重叠	c=2 d=9.61847e-93 t=102671
chong fan 	重返	c=1 d=1.13057e-32 t=102671
chong fen 	充分	c=12 d=0.0555762 t=102671
chong fu 	重复	c=12 d=0.000686564 t=102671
chong fu li yong 	重复利用	c=1 d=1.64229e-101 t=102671
chong fu vir 	重复值	c=1 d=6.17401e-151 t=102671
chong fu xing 	重复性	c=1 d=1 t=91623
chong ji 	冲击	c=3 d=5.67098e-107 t=102671
chong ji li 	冲击力	c=7 d=0.219808 t=102671
chong jian 	重建	c=1 d=1 t=90342
chong kai 	冲开	c=1 d=1 t=101596
chong qi 	充气	c=13 d=1.53433e-07 t=102671
chong qi 	重启	c=3 d=1.52668e-07 t=102671
chong qing 	重庆	c=165 d=3.89389 t=102671
chong qing gong cheng 	重庆工程	c=0 d=5.29579e-141 t=102671
chong qing gong cheng zhi ye ji shu xue yuan 	重庆工程职业技术学院	c=2 d=1.05088e-25 t=102671
chong qing gong shang zhi ye xue yuan 	重庆工商职业学院	c=2 d=4.78562e-66 t=102671
chong qing guang bo dian shi da xue 	重庆广播电视大学	c=1 d=1 t=89889
chong qing li gong da xue 	重庆理工大学	c=6 d=4.54168e-31 t=102671
chong qing qir jin zhuan li dai li shi wu suo 	重庆企进专利代理事务所	c=2 d=1.8233 t=102671
chong qing shi 	重庆市	c=14 d=0.000303539 t=102671
chong uai 	冲厦	c=1 d=8.62412e-84 t=102671
chong uai qu 	冲厦去	c=1 d=8.66735e-83 t=102671
chong xi 	冲洗	c=4 d=3.76903 t=97584
chong xi ksz 	冲洗孔	c=1 d=1 t=97582
chong xiang 	冲向	c=1 d=3.79458e-42 t=102671
chong xin 	重新	c=26 d=7.61797e-06 t=102671
chong zhuang 	冲撞	c=1 d=3.66407e-42 t=102671
chong zhuang 	重裝	c=2 d=7.49605e-42 t=102671
chong zi 	虫子	c=2 d=8.51609e-132 t=102671
chong zu 	充足	c=1 d=1 t=101662
chou 	抽	c=2 d=0.019205 t=102671
chou bei 	筹备	c=1 d=1 t=95037
chou chu 	抽出	c=18 d=3.87413e-11 t=102671
chou diao 	抽调	c=0 d=6.08106e-150 t=102671
chou dong 	抽动	c=1 d=1.32544e-138 t=102671
chou fang 	抽放	c=1 d=2.35139e-147 t=102671
chou kong 	抽空	c=1 d=0.932394 t=102671
chou laf 	抽拉	c=1 d=0.145148 t=102671
chou qu 	抽取	c=2 d=2.23699e-116 t=102671
chou ru 	抽入	c=1 d=0.268474 t=102671
chou shui 	抽水	c=3 d=0.621377 t=102671
chou shui beng 	抽水泵	c=4 d=0.828728 t=102671
chou shui guan 	抽水管	c=2 d=0.397959 t=102671
chou ti 	抽屉	c=1 d=3.23332e-100 t=102671
chu 	出	c=29 d=2.13973e-08 t=102671
chu 	处	c=42 d=0.786506 t=102671
chu 	除	c=6 d=1.38188e-27 t=102671
chu ban she 	出版社	c=3 d=7.89419e-72 t=102671
chu bu 	初步	c=6 d=2.51656e-34 t=102671
chu bu lai 	出不来	c=1 d=1.3959e-71 t=102671
chu chan qi 	除颤器	c=1 d=1.07543e-32 t=102671
chu chang 	出厂	c=1 d=1 t=97851
chu chen 	除尘	c=124 d=2.43651e-45 t=102671
chu chen bu dai 	除尘布袋	c=6 d=1.51654e-120 t=102671
chu chen qi 	除尘器	c=7 d=5.39175e-116 t=102671
chu cheng 	出城	c=2 d=5.13042e-116 t=102671
chu ci 	初次	c=1 d=6.63317e-142 t=102671
chu ci 	除此	c=1 d=5.3663e-31 t=102671
chu cun 	储存	c=4 d=8.66661e-23 t=102671
chu fa 	出发	c=15 d=3.37374e-12 t=102671
chu fa 	触发	c=6 d=8.31192e-61 t=102671
chu fa di 	出發地	c=1 d=2.52162e-87 t=102671
chu fa guo lai 	出发过来	c=1 d=6.89353e-95 t=102671
chu fei 	除非	c=1 d=1.14508e-35 t=102671
chu feng kou 	出风口	c=9 d=4.89217e-115 t=102671
chu gao 	初稿	c=31 d=0.575825 t=102671
chu guan 	出官	c=1 d=1.19267e-14 t=102671
chu guo 	出国	c=1 d=2.63769e-87 t=102671
chu iif 	处持	c=1 d=7.86392e-115 t=102671
chu ji 	初级	c=1 d=7.48804e-127 t=102671
chu ju 	出具	c=2 d=1.41551e-71 t=102671
chu kan 	出刊	c=1 d=1.87188e-111 t=102671
chu kou 	出口	c=15 d=9.0131e-102 t=102671
chu kou duan 	出口端	c=1 d=4.24189e-147 t=102671
chu lai 	出来	c=72 d=0.588605 t=102671
chu le 	除了	c=13 d=4.08747e-05 t=102671
chu li 	处理	c=68 d=1.9533 t=102671
chu li de 	处理的	c=2 d=2.63056e-12 t=102671
chu li wan 	处理完	c=1 d=1.65362e-123 t=102671
chu li xlvo 	处理箱	c=7 d=1.5182 t=102671
chu li yi xia 	处理一下	c=1 d=1 t=81244
chu lki 	处蛉	c=1 d=1 t=81243
chu men 	出门	c=5 d=0.951229 t=102671
chu ming 	出名	c=1 d=5.37858e-146 t=102671
chu neng 	储能	c=1 d=3.32082e-120 t=102671
chu qi 	出气	c=5 d=8.67492e-14 t=102671
chu qi drl 	出气端	c=1 d=8.70395e-15 t=102671
chu qi grv 	出气管	c=1 d=5.81937e-14 t=102671
chu qi guan 	储气罐	c=3 d=1.02769e-115 t=102671
chu qi kou 	出气口	c=3 d=9.65252e-14 t=102671
chu qu 	出去	c=18 d=0.115952 t=102671
